year,PG-13,G,PG,,R,Not Rated,NC-17,TV-PG,Unrated
2011,215,23,109,11,236,21,1,3,4
2010,205,13,130,19,271,5,,5,6
2013,181,5,98,63,252,38,,,2
2006,228,17,133,28,244,15,,,14
2005,244,30,110,21,235,7,3,,1
2015,187,4,109,103,221,14,,,3
2007,191,6,77,31,260,6,,,
2001,216,20,65,6,250,,2,,3
2012,221,8,90,26,222,40,,,
2009,219,19,130,39,307,16,,,5
2014,233,7,98,99,239,19,,,9
2003,162,8,93,14,207,3,,,6
2002,206,24,95,12,275,4,,,4
2008,243,32,93,21,257,12,,,4
2000,180,34,57,9,206,1,,,4
1969,5,5,,,6,,,,
1998,103,31,37,7,213,,,,7
1997,91,13,45,10,183,,2,,
1995,51,15,13,3,133,,1,,
1964,,,1,1,3,2,,,2
1965,3,8,,1,,3,,,
1968,1,6,8,,2,,,,8
2004,245,7,139,15,209,,,,13
1988,8,3,12,3,60,,,,
1987,14,,23,,50,6,,,
1984,6,,47,,32,,,,4
1999,116,25,49,5,273,,,,
1996,76,9,34,2,177,,,,
2016,155,,33,37,82,5,,,
1993,38,8,38,1,66,,,,
1970,,16,2,,13,,,,
1971,,11,,,11,2,,,
1940,,4,,,,4,,,
1986,23,,16,,37,,,,
1985,24,,14,,42,,,,4
1994,52,5,29,,85,,,,
1962,,4,5,,,8,,,
1982,,,28,1,46,,,,
1952,,,2,3,,3,,,
1945,,,,,,2,,,4
1981,,,42,,41,,2,,
1978,2,5,20,,11,,,,
1992,18,12,12,,66,,,,
1990,33,,20,5,33,,,,
1989,22,,21,,45,,,,
1972,,,9,,5,,3,,
1974,,3,10,,8,,,,
1951,,,1,,,,,,
1977,,,34,,2,,,,3
1979,,7,25,,18,,,,
1980,,,32,,28,,,,
1963,,,,,,3,,,8
1983,2,,34,,25,,,,
1961,,,,,,2,,,7
1975,,3,10,,5,,,,
1956,,,,3,,,,,2
1991,23,,20,,56,,,,
1954,,,,,,3,,,3
1953,,,,,,3,,,2
1973,,2,11,,11,,,,
1946,,,4,,,3,,,3
1939,,4,,,,2,,,
1955,,,,,,2,,,
1976,,,16,,10,,,,
1929,,,,,,3,,,
1960,,,,,3,,,,
1959,,,,4,,4,,,
1949,,,,,,,,,1
1947,,,,,,5,,,
1966,,,,,,5,,,
1942,,,3,,,,,,
1967,,,,,,,,,
1936,,3,,,,,,,
1933,,,,,,,,,3
1957,,,3,,,2,,,
1943,,,,,,,,,
1958,,,,,,,,,
1941,,,,,,,,,
1948,,,,,,,,,
1938,,,,,,,,,
1937,,,,,,,,,
1920,,,,2,,,,,
1935,,,,,,,,,
1934,,,,,,,,,2
1950,,,,,,,,,
1932,,,,,,,,,3
1930,,,,,,,,,
1944,,,,,,,,,
1927,,,,,,2,,,
1925,,,,,,3,,,
1916,,,,,,3,,,
